Year,Country,CO2(MMtonnes),Latitude ,Longitude
2000,Africa,824.105533,-2.811371,21.136971
2001,Africa,844.3276571,-2.811371,21.136971
2002,Africa,875.0836225,-2.811371,21.136971
2003,Africa,914.5887943,-2.811371,21.136971
2004,Africa,935.9627139,-2.811371,21.136971
2005,Africa,987.3979585,-2.811371,21.136971
2006,Africa,1010.277942,-2.811371,21.136971
2007,Africa,1002.389385,-2.811371,21.136971
2008,Africa,1017.988756,-2.811371,21.136971
2009,Africa,1052.48373,-2.811371,21.136971
2010,Africa,1095.545932,-2.811371,21.136971
2011,Africa,1135.294259,-2.811371,21.136971
2012,Africa,1173.807911,-2.811371,21.136971
2013,Africa,1227.69039,-2.811371,21.136971
2014,Africa,1258.451068,-2.811371,21.136971
2015,Africa,1273.589153,-2.811371,21.136971
2016,Africa,1280.032068,-2.811371,21.136971
2017,Africa,1299.278869,-2.811371,21.136971
2018,Africa,1309.868993,-2.811371,21.136971
2000,Asia_Oceana,7779.922917,50.736455,130.83394
2001,Asia_Oceana,7954.31817,50.736455,130.83394
2002,Asia_Oceana,8343.605642,50.736455,130.83394
2003,Asia_Oceana,9082.925915,50.736455,130.83394
2004,Asia_Oceana,10200.22849,50.736455,130.83394
2005,Asia_Oceana,11088.32243,50.736455,130.83394
2006,Asia_Oceana,11859.20301,50.736455,130.83394
2007,Asia_Oceana,12328.69091,50.736455,130.83394
2008,Asia_Oceana,12927.82716,50.736455,130.83394
2009,Asia_Oceana,13742.03468,50.736455,130.83394
2010,Asia_Oceana,14874.22746,50.736455,130.83394
2011,Asia_Oceana,15894.58566,50.736455,130.83394
2012,Asia_Oceana,16731.62134,50.736455,130.83394
2013,Asia_Oceana,17050.69035,50.736455,130.83394
2014,Asia_Oceana,17155.15233,50.736455,130.83394
2015,Asia_Oceana,17043.98139,50.736455,130.83394
2016,Asia_Oceana,17054.50645,50.736455,130.83394
2017,Asia_Oceana,17355.13686,50.736455,130.83394
2018,Asia_Oceana,17772.04417,50.736455,130.83394
2000,Central_S_America,940.7139708,-16.636192,-59.026199
2001,Central_S_America,966.083544,-16.636192,-59.026199
2002,Central_S_America,954.3662553,-16.636192,-59.026199
2003,Central_S_America,967.9035335,-16.636192,-59.026199
2004,Central_S_America,1011.460931,-16.636192,-59.026199
2005,Central_S_America,1029.399998,-16.636192,-59.026199
2006,Central_S_America,1073.920383,-16.636192,-59.026199
2007,Central_S_America,1060.393607,-16.636192,-59.026199
2008,Central_S_America,1125.924331,-16.636192,-59.026199
2009,Central_S_America,1092.228607,-16.636192,-59.026199
2010,Central_S_America,1190.181109,-16.636192,-59.026199
2011,Central_S_America,1231.032565,-16.636192,-59.026199
2012,Central_S_America,1296.862562,-16.636192,-59.026199
2013,Central_S_America,1325.23081,-16.636192,-59.026199
2014,Central_S_America,1356.101394,-16.636192,-59.026199
2015,Central_S_America,1375.415795,-16.636192,-59.026199
2016,Central_S_America,1339.654928,-16.636192,-59.026199
2017,Central_S_America,1306.799965,-16.636192,-59.026199
2018,Central_S_America,1283.636243,-16.636192,-59.026199
2000,Europe,4533.339652,53.330873,19.730599
2001,Europe,4582.926546,53.330873,19.730599
2002,Europe,4579.101928,53.330873,19.730599
2003,Europe,4678.379703,53.330873,19.730599
2004,Europe,4716.058913,53.330873,19.730599
2005,Europe,4723.058158,53.330873,19.730599
2006,Europe,4742.043496,53.330873,19.730599
2007,Europe,4702.962377,53.330873,19.730599
2008,Europe,4647.713498,53.330873,19.730599
2009,Europe,4344.091651,53.330873,19.730599
2010,Europe,4455.852896,53.330873,19.730599
2011,Europe,4352.322755,53.330873,19.730599
2012,Europe,4310.172227,53.330873,19.730599
2013,Europe,4233.115354,53.330873,19.730599
2014,Europe,4068.882207,53.330873,19.730599
2015,Europe,4135.862497,53.330873,19.730599
2016,Europe,4143.652832,53.330873,19.730599
2017,Europe,4236.330933,53.330873,19.730599
2018,Europe,4166.088762,53.330873,19.730599
2000,Middle_East,1080.987251,31.952162,54.87228
2001,Middle_East,1116.991882,31.952162,54.87228
2002,Middle_East,1174.789676,31.952162,54.87228
2003,Middle_East,1238.415216,31.952162,54.87228
2004,Middle_East,1329.356796,31.952162,54.87228
2005,Middle_East,1421.99454,31.952162,54.87228
2006,Middle_East,1463.069618,31.952162,54.87228
2007,Middle_East,1420.067567,31.952162,54.87228
2008,Middle_East,1600.849346,31.952162,54.87228
2009,Middle_East,1694.845631,31.952162,54.87228
2010,Middle_East,1786.564706,31.952162,54.87228
2011,Middle_East,1869.999177,31.952162,54.87228
2012,Middle_East,1971.629321,31.952162,54.87228
2013,Middle_East,2006.58389,31.952162,54.87228
2014,Middle_East,2059.734707,31.952162,54.87228
2015,Middle_East,2098.065093,31.952162,54.87228
2016,Middle_East,2050.651141,31.952162,54.87228
2017,Middle_East,2089.505034,31.952162,54.87228
2018,Middle_East,2112.724483,31.952162,54.87228
2000,North_America,6787.741501,34.885931,-101.93886
2001,North_America,6698.733336,34.885931,-101.93886
2002,North_America,6752.228395,34.885931,-101.93886
2003,North_America,6854.449361,34.885931,-101.93886
2004,North_America,6976.226986,34.885931,-101.93886
2005,North_America,7012.179899,34.885931,-101.93886
2006,North_America,6954.957663,34.885931,-101.93886
2007,North_America,7047.216769,34.885931,-101.93886
2008,North_America,6826.752162,34.885931,-101.93886
2009,North_America,6392.970521,34.885931,-101.93886
2010,North_America,6609.332185,34.885931,-101.93886
2011,North_America,6487.649205,34.885931,-101.93886
2012,North_America,6277.464047,34.885931,-101.93886
2013,North_America,6413.903284,34.885931,-101.93886
2014,North_America,6457.149926,34.885931,-101.93886
2015,North_America,6320.768124,34.885931,-101.93886
2016,North_America,6219.213176,34.885931,-101.93886
2017,North_America,6206.67598,34.885931,-101.93886
