,2000,CO2_2000,2001,CO2_2001,2002,CO2_2002,2003,CO2_2003,2004,CO2_2004,2005,CO2_2005,2006,CO2_2006,2007,CO2_2007,2008,CO2_2008,2009,CO2_2009,2010,CO2_2010,2011,CO2_2011,2012,CO2_2012,2013,CO2_2013,2014,CO2_2014,2015,CO2_2015,2016,CO2_2016,2017,CO2_2017,2018,CO2_2018
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Coal (quad Btu),5.083383082,,5.043747226,,4.969608959,,5.375832267,,5.450242422,,5.50339324,,5.489277105,,5.54774124,,5.637804567,,5.557688309,,5.678594514,,5.759791586,,5.880989462,,5.912946497,,6.103256135,,5.984769993,,5.927929525,,6.173635184,,6.167344012,
        Natural gas (quad Btu),4.891812611,,5.07834291,,5.133591108,,5.582382957,,5.803936177,,6.76845399,,7.493964475,,7.456890059,,7.848693583,,7.564999454,,7.781621086,,7.869232056,,8.234400916,,7.755080274,,7.77002763,,7.672130254,,7.844636157,,8.638687176,,9.101070986,
        Petroleum and other liquids (quad Btu),16.42108512,,16.41510374,,16.58933304,,17.61199312,,19.14362422,,20.72053665,,20.93651676,,21.59322274,,21.77281919,,21.34619665,,21.94531757,,18.87811276,,20.43658141,,19.00669702,,17.95434023,,17.69109552,,16.56248051,,17.38563762,,17.55008634,
"        Nuclear, renewables, and other (quad Btu)",0.919661532,,0.979799235,,0.999855537,,0.991089967,,1.051592582,,1.051008306,,1.054908804,,1.100357198,,1.117585274,,1.144474799,,1.268825688,,1.277456251,,1.253090128,,1.333875573,,1.437673132,,1.405008602,,1.465556232,,1.544248404,,1.614022319,
            Nuclear (quad Btu),0.13055535,,0.107565165,,0.12031965,,0.127073205,,0.1432998,,0.12280833,,0.10109259,,0.12644973,,0.127923671,,0.116142782,,0.129450898,,0.129838249,,0.12441393,,0.136623515,,0.148146705,,0.110033775,,0.152622315,,0.151398045,,0.10600974,
            Renewables and other (quad Btu),0.789106182,,0.87223407,,0.879535887,,0.864016762,,0.908292782,,0.928199976,,0.953816214,,0.973907468,,0.989661603,,1.028332017,,1.13937479,,1.147618002,,1.128676198,,1.197252059,,1.289526427,,1.294974827,,1.312933917,,1.392850359,,1.508012579,
Asia & Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Coal (quad Btu),46.21393559,,49.41550009,,51.88537257,,59.00099943,,66.89211045,,74.01332896,,80.12930545,,86.04710079,,89.88117537,,95.36469097,,105.3006967,,112.6731534,,117.8841826,,121.3817298,,121.4737177,,120.5019789,,114.0632608,,116.712614,,122.9632878,
        Natural gas (quad Btu),9.636612868,,9.538550034,,10.44529335,,10.97642982,,11.30086357,,12.32265803,,13.58610715,,14.56054214,,15.18957525,,16.00812292,,17.91012426,,17.92294453,,17.946347,,18.42539855,,19.03507959,,19.77466365,,20.65200576,,21.90646547,,23.01180187,
        Petroleum and other liquids (quad Btu),16.66795494,,16.48173438,,16.52566361,,16.34345938,,16.53267334,,16.65600083,,16.73549622,,16.61086102,,16.88125992,,16.78852773,,17.51797171,,17.21727639,,17.34070699,,17.10106917,,17.17323409,,17.4178856,,16.75347768,,16.01289219,,15.72280826,
