Report generated on: 12-20-2022 20:27:38
"API","","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","Africa","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-AFRC-MMTCD.A","        CO2 emissions (MMtonnes CO2)","824.105533045","844.327657059","875.083622516","914.588794265","935.962713894","987.397958488","1010.277942352","1002.389385105","1017.988756318","1052.483729713","1095.545932111","1135.294259332","1173.807911252","1227.690389788","1258.451067958","1273.589153099","1280.03206778","1299.278868919","1309.86899331"
"","Central & South America","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-CSAM-MMTCD.A","        CO2 emissions (MMtonnes CO2)","940.713970757","966.08354395","954.366255331","967.903533499","1011.460931442","1029.399998383","1073.92038272","1060.393606907","1125.924331444","1092.228606972","1190.181108707","1231.032564631","1296.862562494","1325.230809614","1356.101393509","1375.415795141","1339.654928016","1306.799965499","1283.636243151"
"","North America","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-NOAM-MMTCD.A","        CO2 emissions (MMtonnes CO2)","6787.741500954","6698.733335619","6752.228394527","6854.449360694","6976.226985712","7012.179898853","6954.95766316","7047.216769011","6826.752162495","6392.970520731","6609.332185152","6487.649204999","6277.464046543","6413.903283641","6457.149925741","6320.768124378","6219.213176132","6206.675980226","6347.84868844"
"","Europe","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-EURO-MMTCD.A","        CO2 emissions (MMtonnes CO2)","4533.339651797","4582.926546226","4579.10192777","4678.379702993","4716.058912795","4723.058158144","4742.043495531","4702.962377075","4647.713498172","4344.091650968","4455.852895658","4352.322755043","4310.172227102","4233.115354171","4068.882206839","4135.862497091","4143.652831559","4236.330933326","4166.088761984"
"","Eurasia","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-EURA-MMTCD.A","        CO2 emissions (MMtonnes CO2)","2314.74420798","2310.159849925","2341.205538918","2427.789801461","2430.363507358","2429.050315286","2532.617392473","2522.93871937","2642.706701388","2298.236055759","2501.833086786","2653.301989127","2652.996883354","2578.365672418","2532.240410511","2498.96990075","2473.016874171","2479.909804117","2563.533986942"
"","Middle East","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-MIDE-MMTCD.A","        CO2 emissions (MMtonnes CO2)","1080.987250948","1116.991882486","1174.789676456","1238.415216447","1329.356796065","1421.994539574","1463.069618221","1420.067567383","1600.84934556","1694.845630677","1786.56470574","1869.999177453","1971.62932065","2006.583889551","2059.734707274","2098.065093056","2050.651141395","2089.505034473","2112.72448306"
"","Asia & Oceania","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-ASOC-MMTCD.A","        CO2 emissions (MMtonnes CO2)","7779.922917105","7954.318170302","8343.605642217","9082.925914941","10200.228489481","11088.322427041","11859.203005362","12328.690909327","12927.827163132","13742.034679526","14874.227455604","15894.585657996","16731.621337625","17050.690351917","17155.15232749","17043.981388151","17054.506453157","17355.136857752","17772.044167183"
